Type,County,State,Filename
Discount Store,Fairbanks North Star Borough,ALASKA,"1990.annual 02090 Fairbanks North Star Borough, Alaska.csv"
Supercenter,Fairbanks North Star Borough,ALASKA,"1990.annual 02090 Fairbanks North Star Borough, Alaska.csv"
Supercenter,Kenai Peninsula Borough,ALASKA,"1990.annual 02122 Kenai Peninsula Borough, Alaska.csv"
Discount Store,Ketchikan Gateway Borough,ALASKA,"1990.annual 02130 Ketchikan Gateway Borough, Alaska.csv"
Discount Store,Kodiak Island Borough,ALASKA,"1990.annual 02150 Kodiak Island Borough, Alaska.csv"
Discount Store,Matanuska-Susitna Borough,ALASKA,"1990.annual 02170 Matanuska-Susitna Borough, Alaska.csv"
Discount Store,Matanuska-Susitna Borough,ALASKA,"1990.annual 02170 Matanuska-Susitna Borough, Alaska.csv"
Supercenter,Matanuska-Susitna Borough,ALASKA,"1990.annual 02170 Matanuska-Susitna Borough, Alaska.csv"
Discount Store,Jefferson County,ALABAMA,"1990.annual 01073 Jefferson County, Alabama.csv"
Supercenter,Jefferson County,ALABAMA,"1990.annual 01073 Jefferson County, Alabama.csv"
Supercenter,Shelby County,ALABAMA,"1990.annual 01117 Shelby County, Alabama.csv"
Discount Store,Tallapoosa County,ALABAMA,"1990.annual 01123 Tallapoosa County, Alabama.csv"
Discount Store,Marshall County,ALABAMA,"1990.annual 01095 Marshall County, Alabama.csv"
Supercenter,Marshall County,ALABAMA,"1990.annual 01095 Marshall County, Alabama.csv"
Discount Store,Limestone County,ALABAMA,"1990.annual 01083 Limestone County, Alabama.csv"
Supercenter,Limestone County,ALABAMA,"1990.annual 01083 Limestone County, Alabama.csv"
Supercenter,Escambia County,ALABAMA,"1990.annual 01053 Escambia County, Alabama.csv"
Supercenter,Etowah County,ALABAMA,"1990.annual 01055 Etowah County, Alabama.csv"
Discount Store,Lee County,ALABAMA,"1990.annual 01081 Lee County, Alabama.csv"
Supercenter,Lee County,ALABAMA,"1990.annual 01081 Lee County, Alabama.csv"
Neighborhood Market,Lee County,ALABAMA,"1990.annual 01081 Lee County, Alabama.csv"
Neighborhood Market,Lee County,ALABAMA,"1990.annual 01081 Lee County, Alabama.csv"
Discount Store,Jefferson County,ALABAMA,"1990.annual 01073 Jefferson County, Alabama.csv"
Supercenter,Jefferson County,ALABAMA,"1990.annual 01073 Jefferson County, Alabama.csv"
Supercenter,Jefferson County,ALABAMA,"1990.annual 01073 Jefferson County, Alabama.csv"
Supercenter,Jefferson County,ALABAMA,"1990.annual 01073 Jefferson County, Alabama.csv"
Neighborhood Market,Jefferson County,ALABAMA,"1990.annual 01073 Jefferson County, Alabama.csv"
Neighborhood Market,Jefferson County,ALABAMA,"1990.annual 01073 Jefferson County, Alabama.csv"
Discount Store,Bibb County,ALABAMA,"1990.annual 01007 Bibb County, Alabama.csv"
Supercenter,Escambia County,ALABAMA,"1990.annual 01053 Escambia County, Alabama.csv"
Supercenter,Cherokee County,ALABAMA,"1990.annual 01019 Cherokee County, Alabama.csv"
Discount Store,Chilton County,ALABAMA,"1990.annual 01021 Chilton County, Alabama.csv"
Supercenter,Chilton County,ALABAMA,"1990.annual 01021 Chilton County, Alabama.csv"
Supercenter,Cullman County,ALABAMA,"1990.annual 01043 Cullman County, Alabama.csv"
Supercenter,Baldwin County,ALABAMA,"1990.annual 01003 Baldwin County, Alabama.csv"
Discount Store,Morgan County,ALABAMA,"1990.annual 01103 Morgan County, Alabama.csv"
Neighborhood Market,Morgan County,ALABAMA,"1990.annual 01103 Morgan County, Alabama.csv"
Supercenter,Houston County,ALABAMA,"1990.annual 01069 Houston County, Alabama.csv"
Supercenter,Houston County,ALABAMA,"1990.annual 01069 Houston County, Alabama.csv"
Neighborhood Market,Houston County,ALABAMA,"1990.annual 01069 Houston County, Alabama.csv"
Supercenter,Coffee County,ALABAMA,"1990.annual 01031 Coffee County, Alabama.csv"
Discount Store,Barbour County,ALABAMA,"1990.annual 01005 Barbour County, Alabama.csv"
Supercenter,Barbour County,ALABAMA,"1990.annual 01005 Barbour County, Alabama.csv"
Supercenter,Jefferson County,ALABAMA,"1990.annual 01073 Jefferson County, Alabama.csv"
Supercenter,Lauderdale County,ALABAMA,"1990.annual 01077 Lauderdale County, Alabama.csv"
Supercenter,Lauderdale County,ALABAMA,"1990.annual 01077 Lauderdale County, Alabama.csv"
Neighborhood Market,Lauderdale County,ALABAMA,"1990.annual 01077 Lauderdale County, Alabama.csv"
Supercenter,Dekalb County,ALABAMA,"1990.annual 01049 DeKalb County, Alabama.csv"
Discount Store,Etowah County,ALABAMA,"1990.annual 01055 Etowah County, Alabama.csv"
Supercenter,Etowah County,ALABAMA,"1990.annual 01055 Etowah County, Alabama.csv"
Discount Store,Jefferson County,ALABAMA,"1990.annual 01073 Jefferson County, Alabama.csv"
Supercenter,Jefferson County,ALABAMA,"1990.annual 01073 Jefferson County, Alabama.csv"
Discount Store,Geneva County,ALABAMA,"1990.annual 01061 Geneva County, Alabama.csv"
Neighborhood Market,Marshall County,ALABAMA,"1990.annual 01095 Marshall County, Alabama.csv"
Discount Store,Butler County,ALABAMA,"1990.annual 01013 Butler County, Alabama.csv"
Supercenter,Butler County,ALABAMA,"1990.annual 01013 Butler County, Alabama.csv"
Discount Store,Marion County,ALABAMA,"1990.annual 01093 Marion County, Alabama.csv"
Supercenter,Marion County,ALABAMA,"1990.annual 01093 Marion County, Alabama.csv"
Discount Store,Jefferson County,ALABAMA,"1990.annual 01073 Jefferson County, Alabama.csv"
Supercenter,Jefferson County,ALABAMA,"1990.annual 01073 Jefferson County, Alabama.csv"
Discount Store,Shelby County,ALABAMA,"1990.annual 01117 Shelby County, Alabama.csv"
Supercenter,Jefferson County,ALABAMA,"1990.annual 01073 Jefferson County, Alabama.csv"
Neighborhood Market,Jefferson County,ALABAMA,"1990.annual 01073 Jefferson County, Alabama.csv"
Supercenter,Jefferson County,ALABAMA,"1990.annual 01073 Jefferson County, Alabama.csv"
Discount Store,Madison County,ALABAMA,"1990.annual 01089 Madison County, Alabama.csv"
Discount Store,Madison County,ALABAMA,"1990.annual 01089 Madison County, Alabama.csv"
Discount Store,Madison County,ALABAMA,"1990.annual 01089 Madison County, Alabama.csv"
Supercenter,Madison County,ALABAMA,"1990.annual 01089 Madison County, Alabama.csv"
Discount Store,Madison County,ALABAMA,"1990.annual 01089 Madison County, Alabama.csv"
Discount Store,Madison County,ALABAMA,"1990.annual 01089 Madison County, Alabama.csv"
Supercenter,Madison County,ALABAMA,"1990.annual 01089 Madison County, Alabama.csv"
Discount Store,Madison County,ALABAMA,"1990.annual 01089 Madison County, Alabama.csv"
Discount Store,Madison County,ALABAMA,"1990.annual 01089 Madison County, Alabama.csv"
Supercenter,Madison County,ALABAMA,"1990.annual 01089 Madison County, Alabama.csv"
Neighborhood Market,Madison County,ALABAMA,"1990.annual 01089 Madison County, Alabama.csv"
Supercenter,Madison County,ALABAMA,"1990.annual 01089 Madison County, Alabama.csv"
Neighborhood Market,Madison County,ALABAMA,"1990.annual 01089 Madison County, Alabama.csv"
Neighborhood Market,Madison County,ALABAMA,"1990.annual 01089 Madison County, Alabama.csv"
Supercenter,Madison County,ALABAMA,"1990.annual 01089 Madison County, Alabama.csv"
Supercenter,Clarke County,ALABAMA,"1990.annual 01025 Clarke County, Alabama.csv"
Discount Store,Calhoun County,ALABAMA,"1990.annual 01015 Calhoun County, Alabama.csv"
Supercenter,Calhoun County,ALABAMA,"1990.annual 01015 Calhoun County, Alabama.csv"
Supercenter,St. Clair County,ALABAMA,"1990.annual 01115 St. Clair County, Alabama.csv"
Supercenter,Madison County,ALABAMA,"1990.annual 01089 Madison County, Alabama.csv"
Neighborhood Market,Madison County,ALABAMA,"1990.annual 01089 Madison County, Alabama.csv"
Supercenter,Elmore County,ALABAMA,"1990.annual 01051 Elmore County, Alabama.csv"
Discount Store,Mobile County,ALABAMA,"1990.annual 01097 Mobile County, Alabama.csv"
Supercenter,Mobile County,ALABAMA,"1990.annual 01097 Mobile County, Alabama.csv"
Neighborhood Market,Mobile County,ALABAMA,"1990.annual 01097 Mobile County, Alabama.csv"
Supercenter,Mobile County,ALABAMA,"1990.annual 01097 Mobile County, Alabama.csv"
Neighborhood Market,Mobile County,ALABAMA,"1990.annual 01097 Mobile County, Alabama.csv"
Neighborhood Market,Mobile County,ALABAMA,"1990.annual 01097 Mobile County, Alabama.csv"
Neighborhood Market,Mobile County,ALABAMA,"1990.annual 01097 Mobile County, Alabama.csv"
Discount Store,Monroe County,ALABAMA,"1990.annual 01099 Monroe County, Alabama.csv"
Supercenter,Monroe County,ALABAMA,"1990.annual 01099 Monroe County, Alabama.csv"
Discount Store,Montgomery County,ALABAMA,"1990.annual 01101 Montgomery County, Alabama.csv"
Supercenter,Montgomery County,ALABAMA,"1990.annual 01101 Montgomery County, Alabama.csv"
Discount Store,Montgomery County,ALABAMA,"1990.annual 01101 Montgomery County, Alabama.csv"
Supercenter,Montgomery County,ALABAMA,"1990.annual 01101 Montgomery County, Alabama.csv"
Supercenter,Montgomery County,ALABAMA,"1990.annual 01101 Montgomery County, Alabama.csv"
Neighborhood Market,Montgomery County,ALABAMA,"1990.annual 01101 Montgomery County, Alabama.csv"
Neighborhood Market,Montgomery County,ALABAMA,"1990.annual 01101 Montgomery County, Alabama.csv"
Supercenter,Montgomery County,ALABAMA,"1990.annual 01101 Montgomery County, Alabama.csv"
Discount Store,Lawrence County,ALABAMA,"1990.annual 01079 Lawrence County, Alabama.csv"
Supercenter,Colbert County,ALABAMA,"1990.annual 01033 Colbert County, Alabama.csv"
Discount Store,Tuscaloosa County,ALABAMA,"1990.annual 01125 Tuscaloosa County, Alabama.csv"
Supercenter,Tuscaloosa County,ALABAMA,"1990.annual 01125 Tuscaloosa County, Alabama.csv"
Supercenter,Blount County,ALABAMA,"1990.annual 01009 Blount County, Alabama.csv"
Discount Store,Lee County,ALABAMA,"1990.annual 01081 Lee County, Alabama.csv"
Supercenter,Lee County,ALABAMA,"1990.annual 01081 Lee County, Alabama.csv"
Neighborhood Market,Baldwin County,ALABAMA,"1990.annual 01003 Baldwin County, Alabama.csv"
Supercenter,Calhoun County,ALABAMA,"1990.annual 01015 Calhoun County, Alabama.csv"
Discount Store,Shelby County,ALABAMA,"1990.annual 01117 Shelby County, Alabama.csv"
Supercenter,Shelby County,ALABAMA,"1990.annual 01117 Shelby County, Alabama.csv"
Supercenter,St. Clair County,ALABAMA,"1990.annual 01115 St. Clair County, Alabama.csv"
Discount Store,Autauga County,ALABAMA,"1990.annual 01001 Autauga County, Alabama.csv"
Supercenter,Autauga County,ALABAMA,"1990.annual 01001 Autauga County, Alabama.csv"
Discount Store,Franklin County,ALABAMA,"1990.annual 01059 Franklin County, Alabama.csv"
Supercenter,Franklin County,ALABAMA,"1990.annual 01059 Franklin County, Alabama.csv"
Supercenter,Mobile County,ALABAMA,"1990.annual 01097 Mobile County, Alabama.csv"
Supercenter,Jackson County,ALABAMA,"1990.annual 01071 Jackson County, Alabama.csv"
Supercenter,Mobile County,ALABAMA,"1990.annual 01097 Mobile County, Alabama.csv"
Supercenter,St. Clair County,ALABAMA,"1990.annual 01115 St. Clair County, Alabama.csv"
Supercenter,Walker County,ALABAMA,"1990.annual 01127 Walker County, Alabama.csv"
Discount Store,Talladega County,ALABAMA,"1990.annual 01121 Talladega County, Alabama.csv"
Discount Store,Talladega County,ALABAMA,"1990.annual 01121 Talladega County, Alabama.csv"
Supercenter,Talladega County,ALABAMA,"1990.annual 01121 Talladega County, Alabama.csv"
Supercenter,Elmore County,ALABAMA,"1990.annual 01051 Elmore County, Alabama.csv"
