Year,"$10,000 to $14,999","$100,000 to $149,999","$15,000 to $24,999","$150,000 to $199,999","$200,000 or more","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","Less than $10,000",Mean income (dollars),Median income (dollars)
2011,0.057999999999999996,0.121,0.114,0.044000000000000004,0.043,0.106,0.139,0.18,0.11699999999999999,0.078,69821.0,50502.0
2012,0.055999999999999994,0.124,0.111,0.046,0.046,0.10400000000000001,0.138,0.18,0.11900000000000001,0.077,71317.0,51371.0
2013,0.054000000000000006,0.127,0.10800000000000001,0.049,0.05,0.10300000000000001,0.136,0.179,0.11900000000000001,0.076,73767.0,52250.0
2014,0.053,0.131,0.105,0.052000000000000005,0.053,0.1,0.135,0.17800000000000002,0.12,0.073,75591.0,53657.0
2015,0.05,0.136,0.102,0.055,0.057999999999999996,0.098,0.132,0.17800000000000002,0.122,0.069,78378.0,55775.0
2016,0.048,0.14,0.09699999999999999,0.057999999999999996,0.064,0.095,0.13,0.177,0.12300000000000001,0.067,81346.0,57617.0
2017,0.045,0.146,0.09300000000000001,0.063,0.069,0.091,0.127,0.17600000000000002,0.125,0.065,84525.0,60336.0
2018,0.043,0.15,0.09,0.066,0.076,0.08900000000000001,0.124,0.174,0.126,0.063,87864.0,61937.0
2019,0.04,0.157,0.083,0.07200000000000001,0.085,0.084,0.11900000000000001,0.174,0.128,0.057999999999999996,92324.0,65712.0
2021,0.039,0.163,0.075,0.079,0.098,0.078,0.113,0.168,0.128,0.06,97962.0,69717.0
2022,0.037000000000000005,0.16899999999999998,0.068,0.087,0.115,0.073,0.107,0.162,0.128,0.055,105555.0,74755.0
