fips,zip,year,all_employees,establishments,total_wages,avg_weekly,avg_annual,walmart_entry
47041,37166,2001,549,66,8595,301,15656,0
47041,37166,2002,593,71,9558,310,16130,0
47041,37166,2003,557,70,10070,348,18081,0
47041,37166,2004,485,70,9313,369,19209,0
47041,37166,2005,513,64,9965,374,19423,0
47041,37166,2006,551,64,10704,374,19444,0
47041,37166,2007,649,62,13284,394,20476,1
47041,37166,2008,570,59,11416,385,20017,1
47041,37166,2009,521,56,11073,409,21263,1
47041,37166,2010,530,52,10824,392,20406,1
47041,37166,2011,567,52,11217,381,19792,1
47041,37166,2012,553,49,11264,392,20378,1
47041,37166,2013,543,48,11087,393,20424,1
47041,37166,2014,538,47,11147,399,20723,1
47041,37166,2015,503,45,10707,410,21304,1
47041,37166,2016,512,45,11454,430,22383,1
47041,37166,2017,508,47,12140,460,23916,1
47041,37166,2018,521,53,12979,479,24932,1
47041,37166,2019,532,55,13076,473,24591,1
47041,37166,2020,548,56,14233,499,25969,1
47041,37166,2021,560,59,15711,540,28081,1
47041,37166,2022,556,62,15047,520,27050,1
47041,37166,2023,570,68,16491,556,28932,1
47181,38485,2001,387,56,5107,254,13211,0
47181,38485,2002,387,59,5362,266,13847,0
47181,38485,2003,377,59,5291,270,14022,0
47181,38485,2004,404,61,5962,284,14764,0
47181,38485,2005,401,57,5950,285,14825,0
47181,38485,2006,378,52,5829,297,15424,0
47181,38485,2007,403,55,6401,305,15873,0
47181,38485,2008,399,55,6755,326,16927,0
47181,38485,2009,376,52,6797,347,18068,0
47181,38485,2010,388,52,7284,361,18790,0
47181,38485,2011,373,48,6889,355,18460,0
47181,38485,2012,356,46,6255,338,17583,0
47181,38485,2013,338,43,6195,353,18332,0
47181,38485,2014,342,42,6423,362,18800,0
47181,38485,2015,342,42,6713,378,19633,0
47181,38485,2016,345,42,7262,405,21051,0
47181,38485,2017,346,42,7267,404,21004,0
47181,38485,2018,354,46,7237,394,20468,0
47181,38485,2019,338,48,6877,391,20332,0
47181,38485,2020,349,48,7255,400,20789,0
47181,38485,2021,361,52,7734,412,21420,0
47181,38485,2022,390,53,8535,421,21898,0
47181,38485,2023,400,53,8606,414,21536,0
55107,54848,2001,830,49,12403,287,14949,0
55107,54848,2002,802,46,12630,303,15758,0
55107,54848,2003,764,47,12613,317,16507,0
55107,54848,2004,744,47,12377,320,16644,0
55107,54848,2005,754,46,12090,308,16031,0
55107,54848,2006,541,50,8820,313,16291,0
55107,54848,2007,579,53,9385,312,16207,1
55107,54848,2008,657,50,10854,318,16517,1
55107,54848,2009,643,48,11506,344,17906,1
55107,54848,2010,607,45,11264,357,18552,1
55107,54848,2011,608,46,11309,358,18610,1
55107,54848,2012,598,45,11328,364,18938,1
55107,54848,2013,566,41,10673,363,18857,1
55107,54848,2014,589,39,11425,373,19413,1
55107,54848,2015,597,36,12011,387,20122,1
55107,54848,2016,573,36,12415,417,21669,1
55107,54848,2017,554,36,12605,438,22769,1
55107,54848,2018,558,36,13357,460,23941,1
55107,54848,2019,576,38,13563,453,23543,1
55107,54848,2020,567,34,13733,466,24221,1
55107,54848,2021,575,34,14995,501,26060,1
55107,54848,2022,575,32,15736,526,27348,1
55107,54848,2023,553,32,16534,575,29880,1
55137,54970,2001,796,76,13815,334,17360,0
55137,54970,2002,799,79,14346,345,17957,0
55137,54970,2003,778,83,14267,352,18330,0
55137,54970,2004,835,80,15729,362,18843,0
55137,54970,2005,832,78,15617,361,18778,0
55137,54970,2006,754,77,15464,394,20498,0
55137,54970,2007,778,78,15043,372,19326,0
55137,54970,2008,760,74,14601,370,19215,0
55137,54970,2009,717,70,13557,363,18897,0
55137,54970,2010,679,65,12369,351,18228,0
55137,54970,2011,685,66,12459,350,18193,0
55137,54970,2012,694,67,12874,357,18539,0
55137,54970,2013,706,69,13974,381,19803,0
55137,54970,2014,709,70,14210,385,20030,0
55137,54970,2015,706,67,14758,402,20912,0
55137,54970,2016,729,67,15403,406,21129,0
55137,54970,2017,758,66,16652,422,21956,0
55137,54970,2018,734,65,16506,433,22493,0
55137,54970,2019,728,65,16803,444,23086,0
55137,54970,2020,755,66,18896,481,25025,0
55137,54970,2021,764,65,20229,509,26478,0
55137,54970,2022,727,65,20481,542,28162,0
55137,54970,2023,681,61,19334,546,28387,0
51820,22980,2001,1306,101,24665,363,18892,0
51820,22980,2002,1249,95,24391,376,19528,0
51820,22980,2003,1273,92,25558,386,20085,0
51820,22980,2004,1520,92,35323,447,23242,1
51820,22980,2005,1627,93,34976,413,21498,1
51820,22980,2006,1851,96,38494,400,20796,1
51820,22980,2007,1861,98,37778,390,20296,1
51820,22980,2008,2054,105,40284,377,19616,1
51820,22980,2009,2001,100,39483,379,19734,1
51820,22980,2010,1981,99,39800,386,20096,1
51820,22980,2011,1999,98,40999,394,20510,1
51820,22980,2012,2015,102,41730,398,20710,1
51820,22980,2013,1997,103,42648,411,21352,1
51820,22980,2014,2059,105,44131,412,21437,1
51820,22980,2015,2104,108,46256,423,21983,1
51820,22980,2016,2085,113,46770,431,22429,1
51820,22980,2017,2000,109,45506,437,22748,1
51820,22980,2018,1944,106,44855,444,23072,1
51820,22980,2019,1857,108,43782,453,23581,1
51820,22980,2020,1853,110,48039,499,25923,1
51820,22980,2021,1893,109,49647,504,26224,1
51820,22980,2022,1901,116,54612,553,28730,1
51820,22980,2023,1876,110,55444,568,29558,1
51610,22046,2001,1584,119,49340,599,31157,0
51610,22046,2002,1528,115,48413,609,31676,0
51610,22046,2003,1299,111,41342,612,31822,0
51610,22046,2004,1353,111,46257,657,34182,0
51610,22046,2005,1277,105,40737,613,31899,0
51610,22046,2006,1305,103,40364,595,30942,0
51610,22046,2007,1289,102,42729,637,33138,0
51610,22046,2008,1216,97,40548,641,33347,0
51610,22046,2009,1175,92,39296,643,33441,0
51610,22046,2010,1172,91,39835,654,34004,0
51610,22046,2011,1152,90,40983,684,35563,0
51610,22046,2012,1121,87,40879,701,36464,0
51610,22046,2013,1164,94,42200,697,36241,0
51610,22046,2014,1161,98,42873,710,36935,0
51610,22046,2015,1179,99,43365,708,36794,0
51610,22046,2016,1161,100,43635,723,37600,0
51610,22046,2017,1227,98,47075,738,38368,0
51610,22046,2018,1261,97,49574,756,39300,0
51610,22046,2019,1222,93,52793,831,43190,0
51610,22046,2020,1129,92,51982,886,46049,0
51610,22046,2021,1330,95,63740,922,47943,0
51610,22046,2022,1343,97,67991,974,50645,0
51610,22046,2023,1195,85,66185,1066,55408,0
